"","cdata2.year","cdata2.area1","cdata2.street","cdata2.street22"
"4886",2012,"A","High Road Willenhall"," "
"4887",2012,"A","High St Pelsall"," "
"4888",2012,"A","High St Pelsall"," "
"4889",2012,"A","High Street Pelsall"," "
"4890",2012,"A","High Street West Bromwich"," "
"4891",2012,"A","High Street West Bromwich"," "
"4892",2012,"A","High Street Pelsall"," "
"4893",2012,"A","Highs And Lows St Paul S Crossing"," "
"4894",2012,"A","Jessie Road"," "
"4895",2012,"A","John Street Willenhall"," "
"4896",2012,"A","Kendrick Way Westbrom"," "
"4897",2012,"A","Leamore Precinct"," "
"4898",2012,"Walsall","Leicester Street Walsall"," "
"4899",2012,"Walsall","Leiester Street Walsall"," "
"4900",2012,"Walsall","Lewis Street Walsall"," "
"4901",2012,"A","Lichfield Road"," "
"4902",2012,"Walsall","Lichfield Road Walsall"," "
"4903",2012,"Walsall","Lichfield St Walsall"," "
"4904",2012,"Walsall","Lichfield St Walsall"," "
"4905",2012,"Walsall","Lichfield St Walsall"," "
"4906",2012,"A","Lichfield Street"," "
"4907",2012,"A","Lichfield Street"," "
"4908",2012,"A","Lichfield Street"," "
"4909",2012,"A","Lichfield Street"," "
"4910",2012,"A","Lichfield Street"," "
"4911",2012,"A","Lichfield Street"," "
"4912",2012,"A","Lichfield Street"," "
"4913",2012,"A","Lichfield Street"," "
"4914",2012,"Walsall","Lichfield Street Walsall"," "
"4915",2012,"Walsall","Lichfield Street Walsall"," "
"4916",2012,"Walsall","Lichfield Street Walsall"," "
"4917",2012,"Walsall","Lichfield Street Walsall"," "
"4918",2012,"Walsall","Lichfield Street Walsall"," "
"4919",2012,"Walsall","Lichfield Street Walsall"," "
"4920",2012,"Walsall","Lichfild St Walsall"," "
"4921",2012,"Walsall","Lichfiled St Walsall"," "
"4922",2012,"Walsall","Lichfiled St Walsall"," "
"4923",2012,"A","Liecester Street"," "
"4924",2012,"A","Linton Avenue Tividale"," "
"4925",2012,"Walsall","Lisgard Rd Walsall"," "
"4926",2012,"A","Lower Rushall Street"," "
"4927",2012,"A","Malabar Anchor Road Aldridge"," "
"4928",2012,"A","Market Place Willenhall"," "
"4929",2012,"A","Memorial Park Willenahll"," "
"4930",2012,"Walsall","Milton Street Walsall"," "
"4931",2012,"A","Morrisons"," "
"4932",2012,"A","Morrison S Lichfield Street"," "
"4933",2012,"A","Myatt Avenue Aldridge"," "
"4934",2012,"Wolverhampton","New Cross Hospital Wolverhampton"," "
"4935",2012,"A","New Road Willenhall"," "
"4936",2012,"A","New Road Willenhall"," "
"4937",2012,"A","New Road Willenhall"," "
"4938",2012,"A","New Street Station"," "
"4939",2012,"A","New Street Bloxwich"," "
"4940",2012,"A","Norton Road"," "
